G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS
-22193.0898,-128.5955,170.033,7.04176,-1.08533,0.1328,-0.39692,0.53049,-0.55484,153.1372,327.4183044,-2.41
-24939.1744,320.4394,253.189,2.53306,-0.69068,0.20433,-0.354,0.35586,-0.78229,242.6611,405.4375916,-5.54
-23802.7242,-129.3795,183.338,8.41314,-1.50997,0.57323,-0.44168,0.52993,-1.16159,185.1113,333.4155579,-1.579
-25095.9443,532.2941,226.808,5.32846,-1.69371,0.05277,-0.84693,1.83073,-1.68687,214.2416,398.3703003,-1.98497
-18348.4091,114.2926,105.942,3.53859,-0.31677,0.21127,-0.31677,0.14204,-0.55117,92.5249,240.6867828,-0.15
-31304.3125,-432.9867,390.899,11.0265,-1.19001,0.82127,-0.47713,0.46897,-2.17122,345.3727,566.1650391,-3.912
-20789.1165,13.4644,153.947,2.93788,-0.8551,0.69107,-0.52706,0.50646,-1.21371,117.1474,311.8646545,-0.3
-17946.6905,7.7071,112.592,1.84711,-0.38348,0.08509,-0.38348,0.20929,-0.38348,74.1224,255.5167847,0.43
-22780.7775,-1303.0232,149.416,6.17676,-1.10955,-0.03873,-0.3927,0.52732,-0.58223,139.1104,295.6150818,-0.74
-23392.1962,167.4682,197.311,4.01614,-1.23414,0.34687,-0.45075,0.52902,-1.03397,180.1628,358.5602417,-1.91
-25988.223,121.0518,268.143,8.05095,-1.41003,0.41979,-0.38207,0.52672,-0.88331,235.239,431.7964783,-3.656
-24837.8475,327.8506,250.248,3.17,-0.30493,0.11957,-0.30493,0.2327,-0.80762,212.2506,424.2249146,-4.48
-29761.5679,75.9945,371.32,1.76096,-0.39428,-0.07923,-0.39428,0.21248,-0.39428,242.444,640.3154297,-7.260001
-26045.6739,-56.7936,266.363,1.94086,-0.75969,0.46566,-0.43648,0.38022,-0.75969,186.2936,476.4190369,-3.8
-19754.8788,19.2681,164.931,0.0291025,0,-0.00787,-0.09147,0.04204,0,100.2034,318.7668762,-4.26
-24406.9359,-350.1137,210.383,7.29062,-1.91384,-0.1195,-0.75693,1.96452,-0.71463,222.2364,381.27771,-2.43058
-18560.2618,-3.8526,133.77,1.78477,-0.36997,0.31558,-0.36997,0.19368,-0.36997,88.1492,275.2158203,-0.24
-25731.8173,-93.0806,266.599,2.09808,0,-0.26261,-0.12006,0.09371,-0.32832,257.5463,431.1148071,-6.21
-23321.897,-788.3102,193.525,5.50908,-0.60792,-0.02438,-0.34643,0.31696,-0.67675,173.1708,346.1882019,-2.937
-31804.8212,28.9099,446.266,0.00065966,0,-0.29894,-0.03128,0.02766,0,282.5518,751.9406128,-8.169989
-27532.3962,-46.7214,310.759,7.00315,-0.50916,0.86112,-0.50916,0.50819,-1.48545,275.1772,504.134613,-4.77
-19857.221,-25.5669,132.807,2.19534,-0.32262,-0.17991,-0.38367,0.2206,-0.70629,109.1274,276.9963989,-0.72
-28239.4518,42.3277,386.214,2.46265,0,-0.21857,-0.36016,0.17271,-0.52718,312.472,544.8123169,-2.145
-24910.1109,223.5003,223.067,5.17391,-2.23203,0.55537,-0.42657,0.53052,-1.17351,226.1452,386.506012,-2.6
-25674.9289,-689.7494,216.79,1.79162,0,0.16407,-0.06132,0.11582,-0.27991,250.3389,348.6462708,-5.654971
-18243.7199,3.3211,109.787,1.92074,-0.77776,0.39063,-0.46017,0.44211,-0.77776,86.0902,245.2653961,0.01
-21915.6725,229.8369,168.599,8.19742,-1.06395,0.12616,-0.40614,0.53208,-0.53187,153.1372,325.3274231,-1.96
-32698.7316,10.3095,467.337,7.92621,-1.42229,0.56835,-0.43065,0.35849,-1.51591,402.9169,595.6069336,-4.95
-21689.3346,21.1392,182.118,3.86527,-0.46711,0.19309,-0.46711,0.35999,-1.17632,150.1798,350.076355,-0.98
-30619.665,73.1216,386.826,4.69901,-0.86292,1.01905,-0.40701,0.46718,-1.41723,345.2248,590.1415405,-5.69
-29680.6559,212.6857,396.956,5.03313,-0.73385,-0.15602,-0.37528,0.29767,-0.73385,312.451,527.2573853,-5.66
-19003.205,-29.65,128.323,0.175214,0,-0.38655,-0.09235,0.06242,0,92.1402,269.8972168,-2.15
-23818.994,145.9471,182.463,2.8316,-1.90586,0.77809,-0.38479,0.40805,-1.90586,176.1256,339.4249268,0.239374
-23750.6922,241.0704,182.454,2.83471,-1.90588,0.77797,-0.38479,0.40806,-1.90588,176.1256,339.2073364,-0.805
-26280.826,-107.052,274.022,1.89507,-0.30906,1.12187,-0.41577,0.36799,-1.50687,209.2906,453.3644409,-2.24
-19745.1318,81.0554,132.852,2.79003,-0.20206,-0.27939,-0.29299,0.22552,-0.49505,109.1274,281.6398926,-0.74
-26435.5169,48.3249,278.462,7.23375,-1.25186,0.55445,-0.7626,1.18048,-1.41783,261.0875,443.2096558,-0.815
-22755.3591,87.9595,179.536,7.09399,-0.74907,0.03791,-0.3825,0.52442,-0.35028,192.0012,324.2919312,-3.48
-27924.1003,159.8475,308.901,5.05183,-2.23125,-0.47771,-0.77917,1.94413,-0.57648,297.3432,501.5142517,-4.473
-22371.9886,11.7772,202.973,3.18213,-0.74859,0.09563,-0.43427,0.38999,-1.08895,165.1914,356.9197998,-0.74473
